V1	V(vd1)	I(D1)
-7.620000000000000e+01	-4.220952e+01	-3.399048e-02
-7.609999999999999e+01	-4.220468e+01	-3.389532e-02
-7.600000000000000e+01	-4.219985e+01	-3.380015e-02
-7.590000000000001e+01	-4.219501e+01	-3.370499e-02
-7.580000000000000e+01	-4.219017e+01	-3.360983e-02
-7.570000000000000e+01	-4.218534e+01	-3.351466e-02
-7.559999999999999e+01	-4.218050e+01	-3.341950e-02
-7.550000000000000e+01	-4.217566e+01	-3.332434e-02
-7.540000000000001e+01	-4.217083e+01	-3.322918e-02
-7.530000000000000e+01	-4.216599e+01	-3.313401e-02
-7.520000000000000e+01	-4.216115e+01	-3.303885e-02
-7.509999999999999e+01	-4.215631e+01	-3.294369e-02
-7.500000000000000e+01	-4.215147e+01	-3.284853e-02
-7.490000000000001e+01	-4.214663e+01	-3.275337e-02
-7.480000000000000e+01	-4.214180e+01	-3.265820e-02
-7.470000000000000e+01	-4.213696e+01	-3.256304e-02
-7.459999999999999e+01	-4.213212e+01	-3.246788e-02
-7.450000000000000e+01	-4.212728e+01	-3.237272e-02
-7.440000000000001e+01	-4.212244e+01	-3.227756e-02
-7.430000000000000e+01	-4.211760e+01	-3.218240e-02
-7.420000000000000e+01	-4.211276e+01	-3.208724e-02
-7.409999999999999e+01	-4.210792e+01	-3.199208e-02
-7.400000000000000e+01	-4.210308e+01	-3.189692e-02
-7.390000000000001e+01	-4.209824e+01	-3.180176e-02
-7.380000000000000e+01	-4.209340e+01	-3.170660e-02
-7.370000000000000e+01	-4.208856e+01	-3.161144e-02
-7.359999999999999e+01	-4.208372e+01	-3.151628e-02
-7.350000000000000e+01	-4.207887e+01	-3.142112e-02
-7.340000000000001e+01	-4.207403e+01	-3.132597e-02
-7.330000000000000e+01	-4.206919e+01	-3.123081e-02
-7.320000000000000e+01	-4.206435e+01	-3.113565e-02
-7.309999999999999e+01	-4.205951e+01	-3.104049e-02
-7.300000000000000e+01	-4.205466e+01	-3.094534e-02
-7.290000000000001e+01	-4.204982e+01	-3.085018e-02
-7.280000000000000e+01	-4.204498e+01	-3.075502e-02
-7.270000000000000e+01	-4.204013e+01	-3.065987e-02
-7.259999999999999e+01	-4.203529e+01	-3.056471e-02
-7.250000000000000e+01	-4.203045e+01	-3.046955e-02
-7.240000000000001e+01	-4.202560e+01	-3.037440e-02
-7.230000000000000e+01	-4.202076e+01	-3.027924e-02
-7.220000000000000e+01	-4.201591e+01	-3.018409e-02
-7.209999999999999e+01	-4.201107e+01	-3.008893e-02
-7.200000000000000e+01	-4.200623e+01	-2.999378e-02
-7.190000000000001e+01	-4.200138e+01	-2.989862e-02
-7.180000000000000e+01	-4.199653e+01	-2.980347e-02
-7.170000000000000e+01	-4.199169e+01	-2.970831e-02
-7.159999999999999e+01	-4.198684e+01	-2.961316e-02
-7.150000000000000e+01	-4.198199e+01	-2.951800e-02
-7.140000000000001e+01	-4.197715e+01	-2.942285e-02
-7.130000000000000e+01	-4.197230e+01	-2.932770e-02
-7.120000000000000e+01	-4.196746e+01	-2.923254e-02
-7.109999999999999e+01	-4.196261e+01	-2.913739e-02
-7.100000000000000e+01	-4.195776e+01	-2.904224e-02
-7.090000000000001e+01	-4.195291e+01	-2.894709e-02
-7.080000000000000e+01	-4.194806e+01	-2.885194e-02
-7.070000000000000e+01	-4.194322e+01	-2.875678e-02
-7.059999999999999e+01	-4.193837e+01	-2.866163e-02
-7.050000000000000e+01	-4.193352e+01	-2.856648e-02
-7.040000000000001e+01	-4.192867e+01	-2.847133e-02
-7.030000000000000e+01	-4.192382e+01	-2.837618e-02
-7.020000000000000e+01	-4.191897e+01	-2.828103e-02
-7.009999999999999e+01	-4.191412e+01	-2.818588e-02
-7.000000000000000e+01	-4.190927e+01	-2.809073e-02
-6.990000000000001e+01	-4.190442e+01	-2.799558e-02
-6.980000000000000e+01	-4.189957e+01	-2.790043e-02
-6.970000000000000e+01	-4.189472e+01	-2.780528e-02
-6.959999999999999e+01	-4.188987e+01	-2.771013e-02
-6.950000000000000e+01	-4.188501e+01	-2.761498e-02
-6.940000000000001e+01	-4.188016e+01	-2.751984e-02
-6.930000000000000e+01	-4.187531e+01	-2.742469e-02
-6.920000000000000e+01	-4.187046e+01	-2.732954e-02
-6.909999999999999e+01	-4.186560e+01	-2.723440e-02
-6.900000000000000e+01	-4.186075e+01	-2.713925e-02
-6.890000000000001e+01	-4.185590e+01	-2.704410e-02
-6.880000000000000e+01	-4.185104e+01	-2.694895e-02
-6.870000000000000e+01	-4.184619e+01	-2.685381e-02
-6.859999999999999e+01	-4.184134e+01	-2.675866e-02
-6.850000000000000e+01	-4.183648e+01	-2.666352e-02
-6.840000000000001e+01	-4.183163e+01	-2.656837e-02
-6.830000000000000e+01	-4.182677e+01	-2.647323e-02
-6.820000000000000e+01	-4.182191e+01	-2.637808e-02
-6.809999999999999e+01	-4.181706e+01	-2.628294e-02
-6.800000000000000e+01	-4.181220e+01	-2.618780e-02
-6.790000000000001e+01	-4.180735e+01	-2.609265e-02
-6.780000000000000e+01	-4.180249e+01	-2.599751e-02
-6.769999999999999e+01	-4.179763e+01	-2.590237e-02
-6.759999999999999e+01	-4.179277e+01	-2.580723e-02
-6.750000000000000e+01	-4.178792e+01	-2.571208e-02
-6.740000000000001e+01	-4.178306e+01	-2.561694e-02
-6.730000000000000e+01	-4.177820e+01	-2.552180e-02
-6.719999999999999e+01	-4.177334e+01	-2.542666e-02
-6.709999999999999e+01	-4.176848e+01	-2.533152e-02
-6.700000000000000e+01	-4.176362e+01	-2.523638e-02
-6.690000000000001e+01	-4.175876e+01	-2.514124e-02
-6.680000000000000e+01	-4.175390e+01	-2.504610e-02
-6.669999999999999e+01	-4.174904e+01	-2.495096e-02
-6.659999999999999e+01	-4.174418e+01	-2.485582e-02
-6.650000000000000e+01	-4.173932e+01	-2.476068e-02
-6.640000000000001e+01	-4.173446e+01	-2.466554e-02
-6.630000000000000e+01	-4.172960e+01	-2.457041e-02
-6.619999999999999e+01	-4.172473e+01	-2.447527e-02
-6.609999999999999e+01	-4.171987e+01	-2.438013e-02
-6.600000000000000e+01	-4.171500e+01	-2.428499e-02
-6.590000000000001e+01	-4.171014e+01	-2.418986e-02
-6.580000000000000e+01	-4.170528e+01	-2.409472e-02
-6.569999999999999e+01	-4.170041e+01	-2.399959e-02
-6.559999999999999e+01	-4.169555e+01	-2.390445e-02
-6.550000000000000e+01	-4.169068e+01	-2.380932e-02
-6.540000000000001e+01	-4.168582e+01	-2.371418e-02
-6.530000000000000e+01	-4.168095e+01	-2.361905e-02
-6.519999999999999e+01	-4.167609e+01	-2.352392e-02
-6.509999999999999e+01	-4.167122e+01	-2.342878e-02
-6.500000000000000e+01	-4.166635e+01	-2.333365e-02
-6.490000000000001e+01	-4.166148e+01	-2.323852e-02
-6.480000000000000e+01	-4.165662e+01	-2.314338e-02
-6.469999999999999e+01	-4.165175e+01	-2.304825e-02
-6.459999999999999e+01	-4.164688e+01	-2.295312e-02
-6.450000000000000e+01	-4.164201e+01	-2.285799e-02
-6.440000000000001e+01	-4.163714e+01	-2.276286e-02
-6.430000000000000e+01	-4.163227e+01	-2.266773e-02
-6.419999999999999e+01	-4.162740e+01	-2.257260e-02
-6.409999999999999e+01	-4.162253e+01	-2.247747e-02
-6.400000000000000e+01	-4.161766e+01	-2.238234e-02
-6.390000000000000e+01	-4.161279e+01	-2.228722e-02
-6.380000000000000e+01	-4.160791e+01	-2.219209e-02
-6.370000000000000e+01	-4.160304e+01	-2.209696e-02
-6.360000000000000e+01	-4.159817e+01	-2.200183e-02
-6.350000000000000e+01	-4.159329e+01	-2.190671e-02
-6.340000000000000e+01	-4.158842e+01	-2.181158e-02
-6.330000000000000e+01	-4.158354e+01	-2.171646e-02
-6.320000000000000e+01	-4.157867e+01	-2.162133e-02
-6.310000000000000e+01	-4.157379e+01	-2.152621e-02
-6.300000000000000e+01	-4.156892e+01	-2.143108e-02
-6.290000000000000e+01	-4.156404e+01	-2.133596e-02
-6.280000000000000e+01	-4.155916e+01	-2.124084e-02
-6.270000000000000e+01	-4.155429e+01	-2.114571e-02
-6.260000000000000e+01	-4.154941e+01	-2.105059e-02
-6.250000000000000e+01	-4.154453e+01	-2.095547e-02
-6.240000000000000e+01	-4.153965e+01	-2.086035e-02
-6.230000000000000e+01	-4.153477e+01	-2.076523e-02
-6.220000000000000e+01	-4.152989e+01	-2.067011e-02
-6.210000000000000e+01	-4.152501e+01	-2.057499e-02
-6.200000000000000e+01	-4.152013e+01	-2.047987e-02
-6.190000000000000e+01	-4.151525e+01	-2.038475e-02
-6.180000000000000e+01	-4.151036e+01	-2.028964e-02
-6.170000000000000e+01	-4.150548e+01	-2.019452e-02
-6.159999999999999e+01	-4.150060e+01	-2.009940e-02
-6.150000000000000e+01	-4.149572e+01	-2.000429e-02
-6.140000000000000e+01	-4.149083e+01	-1.990917e-02
-6.130000000000000e+01	-4.148595e+01	-1.981406e-02
-6.120000000000000e+01	-4.148106e+01	-1.971894e-02
-6.109999999999999e+01	-4.147617e+01	-1.962383e-02
-6.100000000000000e+01	-4.147129e+01	-1.952871e-02
-6.090000000000000e+01	-4.146640e+01	-1.943360e-02
-6.080000000000000e+01	-4.146151e+01	-1.933849e-02
-6.070000000000000e+01	-4.145662e+01	-1.924338e-02
-6.059999999999999e+01	-4.145173e+01	-1.914827e-02
-6.050000000000000e+01	-4.144685e+01	-1.905316e-02
-6.040000000000000e+01	-4.144196e+01	-1.895805e-02
-6.030000000000000e+01	-4.143707e+01	-1.886294e-02
-6.020000000000000e+01	-4.143217e+01	-1.876783e-02
-6.009999999999999e+01	-4.142728e+01	-1.867272e-02
-6.000000000000000e+01	-4.142239e+01	-1.857761e-02
-5.990000000000000e+01	-4.141750e+01	-1.848251e-02
-5.980000000000000e+01	-4.141260e+01	-1.838740e-02
-5.970000000000000e+01	-4.140770e+01	-1.829229e-02
-5.959999999999999e+01	-4.140281e+01	-1.819719e-02
-5.950000000000000e+01	-4.139791e+01	-1.810209e-02
-5.940000000000000e+01	-4.139302e+01	-1.800698e-02
-5.930000000000000e+01	-4.138812e+01	-1.791188e-02
-5.920000000000000e+01	-4.138322e+01	-1.781678e-02
-5.909999999999999e+01	-4.137832e+01	-1.772168e-02
-5.900000000000000e+01	-4.137342e+01	-1.762658e-02
-5.890000000000000e+01	-4.136852e+01	-1.753148e-02
-5.880000000000000e+01	-4.136362e+01	-1.743638e-02
-5.870000000000000e+01	-4.135872e+01	-1.734128e-02
-5.859999999999999e+01	-4.135382e+01	-1.724618e-02
-5.850000000000000e+01	-4.134892e+01	-1.715109e-02
-5.840000000000000e+01	-4.134401e+01	-1.705599e-02
-5.830000000000000e+01	-4.133911e+01	-1.696089e-02
-5.820000000000000e+01	-4.133420e+01	-1.686580e-02
-5.809999999999999e+01	-4.132929e+01	-1.677071e-02
-5.800000000000000e+01	-4.132439e+01	-1.667561e-02
-5.790000000000000e+01	-4.131948e+01	-1.658052e-02
-5.780000000000000e+01	-4.131457e+01	-1.648543e-02
-5.770000000000000e+01	-4.130966e+01	-1.639034e-02
-5.759999999999999e+01	-4.130475e+01	-1.629525e-02
-5.750000000000000e+01	-4.129984e+01	-1.620016e-02
-5.740000000000000e+01	-4.129493e+01	-1.610507e-02
-5.730000000000000e+01	-4.129002e+01	-1.600998e-02
-5.720000000000000e+01	-4.128510e+01	-1.591490e-02
-5.709999999999999e+01	-4.128019e+01	-1.581981e-02
-5.700000000000000e+01	-4.127527e+01	-1.572473e-02
-5.690000000000000e+01	-4.127036e+01	-1.562965e-02
-5.680000000000000e+01	-4.126544e+01	-1.553456e-02
-5.670000000000000e+01	-4.126052e+01	-1.543948e-02
-5.659999999999999e+01	-4.125560e+01	-1.534440e-02
-5.650000000000000e+01	-4.125068e+01	-1.524932e-02
-5.640000000000000e+01	-4.124576e+01	-1.515424e-02
-5.630000000000000e+01	-4.124084e+01	-1.505916e-02
-5.620000000000000e+01	-4.123591e+01	-1.496409e-02
-5.609999999999999e+01	-4.123099e+01	-1.486901e-02
-5.600000000000000e+01	-4.122607e+01	-1.477394e-02
-5.590000000000000e+01	-4.122114e+01	-1.467886e-02
-5.580000000000000e+01	-4.121621e+01	-1.458379e-02
-5.570000000000000e+01	-4.121128e+01	-1.448872e-02
-5.559999999999999e+01	-4.120636e+01	-1.439365e-02
-5.550000000000000e+01	-4.120142e+01	-1.429858e-02
-5.540000000000000e+01	-4.119649e+01	-1.420351e-02
-5.530000000000000e+01	-4.119156e+01	-1.410844e-02
-5.520000000000000e+01	-4.118663e+01	-1.401337e-02
-5.509999999999999e+01	-4.118169e+01	-1.391831e-02
-5.500000000000000e+01	-4.117676e+01	-1.382324e-02
-5.490000000000000e+01	-4.117182e+01	-1.372818e-02
-5.480000000000000e+01	-4.116688e+01	-1.363312e-02
-5.470000000000000e+01	-4.116194e+01	-1.353806e-02
-5.459999999999999e+01	-4.115700e+01	-1.344300e-02
-5.450000000000000e+01	-4.115206e+01	-1.334794e-02
-5.440000000000000e+01	-4.114712e+01	-1.325288e-02
-5.430000000000000e+01	-4.114217e+01	-1.315783e-02
-5.420000000000000e+01	-4.113723e+01	-1.306277e-02
-5.409999999999999e+01	-4.113228e+01	-1.296772e-02
-5.400000000000000e+01	-4.112733e+01	-1.287267e-02
-5.390000000000000e+01	-4.112238e+01	-1.277762e-02
-5.380000000000000e+01	-4.111743e+01	-1.268257e-02
