V2	V(n002)	I(R2)
Step Information: Vbb=0  (Step: 1/26)
9.000000000000000e-01	4.804510e-03	1.598563e-03
1.000000000000000e+00	1.096125e-02	1.766141e-03
1.100000000000000e+00	1.717719e-02	1.933612e-03
1.200000000000000e+00	2.355724e-02	2.100791e-03
1.300000000000000e+00	3.022092e-02	2.267463e-03
1.400000000000000e+00	3.732083e-02	2.433356e-03
1.500000000000000e+00	4.506752e-02	2.598094e-03
1.600000000000000e+00	5.377732e-02	2.761112e-03
1.700000000000000e+00	6.397227e-02	2.921478e-03
1.800000000000000e+00	7.661879e-02	3.077467e-03
1.900000000000000e+00	9.380452e-02	3.225349e-03
2.000000000000000e+00	1.210932e-01	3.355191e-03
2.100000000000000e+00	1.745177e-01	3.438361e-03
2.200000000000000e+00	2.628876e-01	3.459129e-03
2.300000000000000e+00	3.602115e-01	3.463908e-03
2.400000000000000e+00	4.580922e-01	3.467693e-03
2.500000000000000e+00	5.560005e-01	3.471428e-03
2.600000000000000e+00	6.539105e-01	3.475160e-03
2.700000000000000e+00	7.518207e-01	3.478892e-03
2.800000000000000e+00	8.497310e-01	3.482623e-03
2.900000000000000e+00	9.476414e-01	3.486355e-03
3.000000000000000e+00	1.045552e+00	3.490086e-03
3.100000000000000e+00	1.143463e+00	3.493817e-03
3.200000000000000e+00	1.241373e+00	3.497548e-03
3.300000000000000e+00	1.339284e+00	3.501279e-03
3.400000000000000e+00	1.437195e+00	3.505009e-03
3.500000000000000e+00	1.535106e+00	3.508739e-03
3.600000000000000e+00	1.633017e+00	3.512470e-03
3.700000000000000e+00	1.730928e+00	3.516200e-03
3.800000000000000e+00	1.828839e+00	3.519929e-03
3.900000000000000e+00	1.926751e+00	3.523659e-03
4.000000000000000e+00	2.024662e+00	3.527389e-03
4.100000000000001e+00	2.122574e+00	3.531118e-03
4.200000000000000e+00	2.220485e+00	3.534847e-03
4.300000000000000e+00	2.318397e+00	3.538576e-03
4.400000000000000e+00	2.416309e+00	3.542305e-03
4.500000000000000e+00	2.514221e+00	3.546034e-03
4.600000000000001e+00	2.612133e+00	3.549762e-03
4.700000000000000e+00	2.710045e+00	3.553491e-03
4.800000000000001e+00	2.807957e+00	3.557219e-03
4.900000000000000e+00	2.905870e+00	3.560947e-03
5.000000000000000e+00	3.003782e+00	3.564674e-03
5.100000000000001e+00	3.101695e+00	3.568402e-03
5.200000000000000e+00	3.199607e+00	3.572129e-03
5.300000000000001e+00	3.297520e+00	3.575857e-03
5.400000000000000e+00	3.395433e+00	3.579584e-03
5.500000000000000e+00	3.493346e+00	3.583311e-03
5.600000000000001e+00	3.591259e+00	3.587038e-03
5.700000000000000e+00	3.689172e+00	3.590764e-03
5.800000000000001e+00	3.787085e+00	3.594490e-03
5.900000000000000e+00	3.884999e+00	3.598217e-03
6.000000000000000e+00	3.982912e+00	3.601943e-03
6.100000000000001e+00	4.080825e+00	3.605669e-03
6.200000000000000e+00	4.178739e+00	3.609394e-03
6.300000000000001e+00	4.276653e+00	3.613120e-03
6.400000000000000e+00	4.374567e+00	3.616845e-03
6.500000000000000e+00	4.472480e+00	3.620571e-03
6.600000000000001e+00	4.570395e+00	3.624296e-03
6.700000000000000e+00	4.668309e+00	3.628021e-03
6.800000000000001e+00	4.766222e+00	3.631745e-03
6.900000000000000e+00	4.864137e+00	3.635470e-03
7.000000000000000e+00	4.962051e+00	3.639194e-03
7.100000000000001e+00	5.059966e+00	3.642918e-03
7.200000000000000e+00	5.157880e+00	3.646642e-03
7.300000000000001e+00	5.255795e+00	3.650366e-03
7.400000000000000e+00	5.353710e+00	3.654090e-03
7.500000000000000e+00	5.451624e+00	3.657813e-03
7.600000000000001e+00	5.549540e+00	3.661537e-03
7.700000000000000e+00	5.647455e+00	3.665260e-03
7.800000000000001e+00	5.745370e+00	3.668983e-03
7.900000000000000e+00	5.843285e+00	3.672705e-03
8.000000000000000e+00	5.941200e+00	3.676428e-03
8.100000000000000e+00	6.039116e+00	3.680150e-03
8.200000000000001e+00	6.137031e+00	3.683873e-03
8.300000000000001e+00	6.234947e+00	3.687595e-03
8.400000000000000e+00	6.332862e+00	3.691317e-03
8.500000000000000e+00	6.430779e+00	3.695039e-03
8.600000000000000e+00	6.528694e+00	3.698760e-03
8.700000000000001e+00	6.626610e+00	3.702482e-03
8.800000000000001e+00	6.724526e+00	3.706203e-03
8.900000000000000e+00	6.822443e+00	3.709924e-03
9.000000000000000e+00	6.920359e+00	3.713645e-03
9.100000000000000e+00	7.018275e+00	3.717366e-03
9.200000000000001e+00	7.116192e+00	3.721086e-03
9.300000000000001e+00	7.214108e+00	3.724806e-03
9.400000000000000e+00	7.312025e+00	3.728527e-03
9.500000000000000e+00	7.409942e+00	3.732247e-03
9.600000000000001e+00	7.507859e+00	3.735967e-03
9.700000000000001e+00	7.605776e+00	3.739686e-03
9.800000000000001e+00	7.703693e+00	3.743406e-03
9.900000000000000e+00	7.801610e+00	3.747125e-03
1.000000000000000e+01	7.899527e+00	3.750844e-03
Step Information: Vbb=1  (Step: 6/26)
0.000000000000000e+00	-8.902748e-02	1.589776e-04
1.000000000000000e-01	-7.640133e-02	3.150024e-04
2.000000000000000e-01	-6.687764e-02	4.765672e-04
3.000000000000000e-01	-5.910885e-02	6.412658e-04
